  Training |   221 | Steps: 14 | Time:  542 | Loss:   3.79586 | Score:  0
  Training |   222 | Steps:  9 | Time:  472 | Loss:   4.06206 | Score:  0
  Training |   223 | Steps: 10 | Time:  481 | Loss:   3.67385 | Score:  0
  Training |   224 | Steps: 10 | Time:  454 | Loss:   4.26720 | Score:  0
  Training |   225 | Steps:  7 | Time:  412 | Loss:   3.18715 | Score:  0
  Training |   226 | Steps: 19 | Time:  665 | Loss:   3.83676 | Score:  0
  Training |   227 | Steps: 28 | Time:  879 | Loss:   3.75909 | Score:  1
  Training |   228 | Steps:  7 | Time:  414 | Loss:   3.58642 | Score:  0
  Training |   229 | Steps: 11 | Time:  517 | Loss:   3.58945 | Score:  0
  Training |   230 | Steps: 12 | Time:  531 | Loss:   3.26363 | Score:  0
  Training |   231 | Steps: 22 | Time:  729 | Loss:   3.90406 | Score:  0
  Training |   232 | Steps:  7 | Time:  412 | Loss:   3.87738 | Score:  0
  Training |   233 | Steps: 13 | Time:  577 | Loss:   3.60396 | Score:  0
  Training |   234 | Steps: 23 | Time:  742 | Loss:   3.61543 | Score:  0
  Training |   235 | Steps: 12 | Time:  531 | Loss:   3.21501 | Score:  1
  Training |   236 | Steps: 12 | Time:  518 | Loss:   4.06726 | Score:  0
  Training |   237 | Steps: 20 | Time:  715 | Loss:   4.10095 | Score:  1
  Training |   238 | Steps: 10 | Time:  468 | Loss:   3.43279 | Score:  1
  Training |   239 | Steps: 13 | Time:  539 | Loss:   4.11268 | Score:  1
  Training |   240 | Steps: 14 | Time:  540 | Loss:   3.48707 | Score:  0
  Training |   241 | Steps: 13 | Time:  551 | Loss:   3.61119 | Score:  0
  Training |   242 | Steps: 17 | Time:  612 | Loss:   3.78597 | Score:  0
  Training |   243 | Steps: 21 | Time:  708 | Loss:   3.75245 | Score:  0
  Training |   244 | Steps: 34 | Time:  940 | Loss:   3.95537 | Score:  0
  Training |   245 | Steps: 12 | Time:  536 | Loss:   3.79117 | Score:  1
  Training |   246 | Steps: 10 | Time:  649 | Loss:   3.72603 | Score:  0
  Training |   247 | Steps:  8 | Time:  445 | Loss:   3.70881 | Score:  0
  Training |   248 | Steps: 15 | Time:  611 | Loss:   3.50691 | Score:  0
  Training |   249 | Steps: 11 | Time:  514 | Loss:   4.14043 | Score:  0
  Training |   250 | Steps: 40 | Time: 1035 | Loss:   3.78421 | Score:  1
  Training |   251 | Steps: 19 | Time:  683 | Loss:   3.59511 | Score:  1
  Training |   252 | Steps:  8 | Time:  443 | Loss:   3.91621 | Score:  0
  Training |   253 | Steps: 20 | Time:  642 | Loss:   3.77396 | Score:  0
  Training |   254 | Steps: 17 | Time:  634 | Loss:   3.83926 | Score:  1
  Training |   255 | Steps: 33 | Time:  964 | Loss:   3.83374 | Score:  0
  Training |   256 | Steps: 10 | Time:  487 | Loss:   3.70903 | Score:  0
  Training |   257 | Steps: 17 | Time:  612 | Loss:   3.57677 | Score:  0
  Training |   258 | Steps:  7 | Time:  402 | Loss:   3.53130 | Score:  1
  Training |   259 | Steps: 19 | Time:  646 | Loss:   3.83952 | Score:  0
