  Training |   153 | Steps: 20 | Time:  562 | Loss:   0.73112 | Score:  0
  Training |   154 | Steps:  6 | Time:  339 | Loss:   0.80522 | Score:  0
  Training |   155 | Steps: 17 | Time:  528 | Loss:   0.71185 | Score:  1
  Training |   156 | Steps:  9 | Time:  449 | Loss:   0.58144 | Score:  0
  Training |   157 | Steps:  6 | Time:  345 | Loss:   1.08965 | Score:  0
  Training |   158 | Steps: 17 | Time:  502 | Loss:   0.55661 | Score:  0
  Training |   159 | Steps: 15 | Time:  538 | Loss:   0.54471 | Score:  0
  Training |   160 | Steps:  8 | Time:  389 | Loss:   0.51096 | Score:  0
  Training |   161 | Steps:  6 | Time:  406 | Loss:   0.58995 | Score:  0
  Training |   162 | Steps: 45 | Time: 1002 | Loss:   0.77337 | Score:  0
  Training |   163 | Steps:  6 | Time:  383 | Loss:   0.82849 | Score:  1
  Training |   164 | Steps:  8 | Time:  476 | Loss:   0.73782 | Score:  0
  Training |   165 | Steps: 11 | Time:  441 | Loss:   0.66783 | Score:  0
  Training |   166 | Steps:  7 | Time:  440 | Loss:   0.60989 | Score:  0
  Training |   167 | Steps:  6 | Time:  402 | Loss:   0.75963 | Score:  0
  Training |   168 | Steps:  6 | Time:  415 | Loss:   0.77335 | Score:  0
  Training |   169 | Steps:  6 | Time:  366 | Loss:   0.75372 | Score:  1
  Training |   170 | Steps: 51 | Time: 1213 | Loss:   0.78778 | Score:  0
  Training |   171 | Steps:  8 | Time:  388 | Loss:   0.63686 | Score:  0
  Training |   172 | Steps: 75 | Time: 1603 | Loss:   0.74366 | Score:  0
  Training |   173 | Steps: 25 | Time:  723 | Loss:   1.00188 | Score:  1
  Training |   174 | Steps:  7 | Time:  382 | Loss:   0.68961 | Score:  0
  Training |   175 | Steps:  7 | Time:  360 | Loss:   0.71966 | Score:  0
  Training |   176 | Steps:  8 | Time:  370 | Loss:   0.69195 | Score:  0
  Training |   177 | Steps: 14 | Time:  481 | Loss:   0.68285 | Score:  0
  Training |   178 | Steps: 10 | Time:  428 | Loss:   0.73787 | Score:  0
  Training |   179 | Steps:  9 | Time:  439 | Loss:   0.74890 | Score:  0
  Training |   180 | Steps:  7 | Time:  364 | Loss:   0.52154 | Score:  0
  Training |   181 | Steps:  9 | Time:  433 | Loss:   0.71051 | Score:  0
  Training |   182 | Steps: 20 | Time:  536 | Loss:   0.53728 | Score:  0
  Training |   183 | Steps: 26 | Time:  633 | Loss:   0.62215 | Score:  0
  Training |   184 | Steps: 15 | Time:  455 | Loss:   0.74226 | Score:  0
  Training |   185 | Steps: 34 | Time:  759 | Loss:   0.66288 | Score:  1
  Training |   186 | Steps:  9 | Time:  401 | Loss:   0.60350 | Score:  0
  Training |   187 | Steps: 17 | Time:  529 | Loss:   0.58120 | Score:  0
  Training |   188 | Steps:  8 | Time:  409 | Loss:   0.80886 | Score:  0
  Training |   189 | Steps:  7 | Time:  398 | Loss:   0.68617 | Score:  0
  Training |   190 | Steps:  6 | Time:  384 | Loss:   0.54777 | Score:  0
  Training |   191 | Steps:  8 | Time:  371 | Loss:   0.52760 | Score:  0
  Training |   192 | Steps:  6 | Time:  375 | Loss:   0.66847 | Score:  0
  Training |   193 | Steps:  8 | Time:  380 | Loss:   0.57649 | Score:  0
  Training |   194 | Steps:  8 | Time:  407 | Loss:   0.65630 | Score:  0
  Training |   195 | Steps: 52 | Time: 1032 | Loss:   0.58012 | Score:  0
  Training |   196 | Steps: 16 | Time:  489 | Loss:   0.65742 | Score:  0
  Training |   197 | Steps: 12 | Time:  436 | Loss:   0.59818 | Score:  0
  Training |   198 | Steps:  6 | Time:  388 | Loss:   0.63823 | Score:  0
  Training |   199 | Steps:  9 | Time:  387 | Loss:   0.76248 | Score:  1
  Training |   200 | Steps:  6 | Time:  366 | Loss:   0.80092 | Score:  0
  Training |   201 | Steps: 21 | Time:  567 | Loss:   0.69407 | Score:  0
  Training |   202 | Steps:  7 | Time:  423 | Loss:   0.54089 | Score:  0
  Training |   203 | Steps: 22 | Time:  618 | Loss:   0.79142 | Score:  0
  Training |   204 | Steps: 12 | Time:  468 | Loss:   0.57581 | Score:  0
  Training |   205 | Steps: 14 | Time:  513 | Loss:   0.61667 | Score:  0
  Training |   206 | Steps: 38 | Time:  797 | Loss:   0.66074 | Score:  1
  Training |   207 | Steps: 13 | Time:  490 | Loss:   0.59403 | Score:  0
  Training |   208 | Steps:  8 | Time:  421 | Loss:   0.61342 | Score:  1
  Training |   209 | Steps:  8 | Time:  401 | Loss:   0.70373 | Score:  1
  Training |   210 | Steps:  9 | Time:  434 | Loss:   0.59477 | Score:  1
  Training |   211 | Steps: 11 | Time:  425 | Loss:   0.60230 | Score:  0
  Training |   212 | Steps:  9 | Time:  424 | Loss:   0.28112 | Score:  0
  Training |   213 | Steps: 53 | Time: 1051 | Loss:   0.63643 | Score:  2
  Training |   214 | Steps: 14 | Time:  521 | Loss:   0.61625 | Score:  0
  Training |   215 | Steps:  9 | Time:  395 | Loss:   0.52595 | Score:  0
  Training |   216 | Steps:  6 | Time:  372 | Loss:   0.59903 | Score:  0
  Training |   217 | Steps:  7 | Time:  350 | Loss:   0.57882 | Score:  0
  Training |   218 | Steps:  6 | Time:  406 | Loss:   0.47784 | Score:  0
  Training |   219 | Steps: 10 | Time:  392 | Loss:   0.71628 | Score:  0
  Training |   220 | Steps: 13 | Time:  461 | Loss:   0.59705 | Score:  0
  Training |   221 | Steps:  9 | Time:  440 | Loss:   0.69943 | Score:  0
  Training |   222 | Steps:  6 | Time:  359 | Loss:   0.39872 | Score:  0
  Training |   223 | Steps:  6 | Time:  382 | Loss:   0.62200 | Score:  0
  Training |   224 | Steps:  6 | Time:  439 | Loss:   0.62848 | Score:  0
  Training |   225 | Steps: 13 | Time:  730 | Loss:   0.65282 | Score:  0
  Training |   226 | Steps:  8 | Time:  505 | Loss:   0.56277 | Score:  0
  Training |   227 | Steps:  6 | Time:  370 | Loss:   0.97097 | Score:  0
  Training |   228 | Steps: 11 | Time:  478 | Loss:   0.53473 | Score:  0
  Training |   229 | Steps: 10 | Time:  402 | Loss:   0.58840 | Score:  0
  Training |   230 | Steps:  7 | Time:  392 | Loss:   0.79251 | Score:  0
  Training |   231 | Steps: 10 | Time:  443 | Loss:   0.57950 | Score:  0
  Training |   232 | Steps: 12 | Time:  449 | Loss:   0.60231 | Score:  0
  Training |   233 | Steps:  7 | Time:  396 | Loss:   0.57273 | Score:  0
  Training |   234 | Steps: 16 | Time:  543 | Loss:   0.80446 | Score:  0
  Training |   235 | Steps: 26 | Time:  705 | Loss:   0.77061 | Score:  0
  Training |   236 | Steps:  8 | Time:  405 | Loss:   0.65197 | Score:  0
