  Training |   147 | Steps: 31 | Time:  851 | Loss:   4.51579 | Score:  1
  Training |   148 | Steps: 14 | Time:  568 | Loss:   4.69840 | Score:  0
  Training |   149 | Steps: 17 | Time:  620 | Loss:   4.61868 | Score:  0
  Training |   150 | Steps: 27 | Time:  776 | Loss:   4.68751 | Score:  0
  Training |   151 | Steps:  6 | Time:  411 | Loss:   4.65664 | Score:  0
  Training |   152 | Steps:  6 | Time:  425 | Loss:   5.01057 | Score:  0
  Training |   153 | Steps: 12 | Time:  537 | Loss:   5.01779 | Score:  0
  Training |   154 | Steps:  9 | Time:  477 | Loss:   4.63467 | Score:  0
  Training |   155 | Steps:  9 | Time:  492 | Loss:   4.92484 | Score:  0
  Training |   156 | Steps: 37 | Time:  994 | Loss:   4.74628 | Score:  0
  Training |   157 | Steps: 30 | Time:  885 | Loss:   4.64829 | Score:  1
  Training |   158 | Steps:  8 | Time:  482 | Loss:   4.65687 | Score:  0
  Training |   159 | Steps: 15 | Time:  591 | Loss:   4.75876 | Score:  0
  Training |   160 | Steps: 15 | Time:  613 | Loss:   4.60783 | Score:  0
  Training |   161 | Steps: 12 | Time:  577 | Loss:   4.51098 | Score:  0
  Training |   162 | Steps:  7 | Time:  437 | Loss:   4.16486 | Score:  0
  Training |   163 | Steps: 10 | Time:  440 | Loss:   4.91302 | Score:  1
  Training |   164 | Steps:  8 | Time:  446 | Loss:   4.41061 | Score:  0
  Training |   165 | Steps: 38 | Time: 1007 | Loss:   4.62045 | Score:  1
  Training |   166 | Steps: 26 | Time:  716 | Loss:   4.59470 | Score:  1
  Training |   167 | Steps: 33 | Time:  892 | Loss:   4.46358 | Score:  1
  Training |   168 | Steps:  8 | Time:  436 | Loss:   4.38976 | Score:  1
  Training |   169 | Steps:  9 | Time:  492 | Loss:   4.26529 | Score:  0
  Training |   170 | Steps: 19 | Time:  648 | Loss:   4.75511 | Score:  0
  Training |   171 | Steps: 12 | Time:  501 | Loss:   5.29466 | Score:  0
  Training |   172 | Steps:  9 | Time:  486 | Loss:   4.65447 | Score:  0
  Training |   173 | Steps: 10 | Time:  502 | Loss:   4.41524 | Score:  0
  Training |   174 | Steps:  7 | Time:  420 | Loss:   5.03117 | Score:  0
  Training |   175 | Steps: 13 | Time:  501 | Loss:   5.29499 | Score:  1
  Training |   176 | Steps: 10 | Time:  480 | Loss:   4.34793 | Score:  0
  Training |   177 | Steps: 41 | Time: 1051 | Loss:   4.57938 | Score:  0
  Training |   178 | Steps: 16 | Time:  624 | Loss:   5.09613 | Score:  1
  Training |   179 | Steps:  6 | Time:  442 | Loss:   5.17760 | Score:  0
  Training |   180 | Steps:  7 | Time:  416 | Loss:   4.25757 | Score:  0
  Training |   181 | Steps: 35 | Time:  851 | Loss:   4.44469 | Score:  0
  Training |   182 | Steps: 15 | Time:  578 | Loss:   4.54089 | Score:  0
  Training |   183 | Steps:  6 | Time:  432 | Loss:   5.01574 | Score:  0
  Training |   184 | Steps: 24 | Time:  754 | Loss:   4.72951 | Score:  1
  Training |   185 | Steps: 10 | Time:  474 | Loss:   5.17462 | Score:  0
  Training |   186 | Steps:  7 | Time:  444 | Loss:   4.80969 | Score:  0
  Training |   187 | Steps: 11 | Time:  495 | Loss:   4.75270 | Score:  1
  Training |   188 | Steps:  7 | Time:  465 | Loss:   4.97262 | Score:  0
  Training |   189 | Steps: 12 | Time:  498 | Loss:   4.96332 | Score:  0
  Training |   190 | Steps: 11 | Time:  515 | Loss:   4.31972 | Score:  0
  Training |   191 | Steps: 36 | Time:  912 | Loss:   4.66201 | Score:  1
  Training |   192 | Steps: 12 | Time:  532 | Loss:   4.41210 | Score:  0
  Training |   193 | Steps: 58 | Time: 1379 | Loss:   4.65332 | Score:  0
  Training |   194 | Steps: 20 | Time:  729 | Loss:   4.73890 | Score:  0
  Training |   195 | Steps: 16 | Time:  651 | Loss:   4.62090 | Score:  0
  Training |   196 | Steps:  6 | Time:  398 | Loss:   4.25884 | Score:  0
  Training |   197 | Steps: 11 | Time:  476 | Loss:   3.96980 | Score:  0
