  Training |   171 | Steps: 30 | Time: 1372 | Loss:   0.63127 | Score:  0
  Training |   172 | Steps:  6 | Time:  500 | Loss:   0.41853 | Score:  0
  Training |   173 | Steps:  8 | Time:  561 | Loss:   0.55948 | Score:  0
  Training |   174 | Steps: 12 | Time:  697 | Loss:   0.50418 | Score:  0
  Training |   175 | Steps: 14 | Time:  758 | Loss:   0.56663 | Score:  0
  Training |   176 | Steps: 18 | Time:  903 | Loss:   0.55922 | Score:  0
  Training |   177 | Steps: 21 | Time: 1059 | Loss:   0.54500 | Score:  0
  Training |   178 | Steps:  7 | Time:  527 | Loss:   0.52246 | Score:  0
  Training |   179 | Steps:  6 | Time:  516 | Loss:   0.66225 | Score:  0
  Training |   180 | Steps:  9 | Time:  594 | Loss:   0.50956 | Score:  0
  Training |   181 | Steps: 10 | Time:  647 | Loss:   0.78739 | Score:  1
  Training |   182 | Steps: 15 | Time:  818 | Loss:   0.63255 | Score:  0
  Training |   183 | Steps:  7 | Time:  526 | Loss:   0.55382 | Score:  0
  Training |   184 | Steps: 14 | Time:  806 | Loss:   0.64220 | Score:  1
  Training |   185 | Steps:  6 | Time:  522 | Loss:   0.67493 | Score:  0
  Training |   186 | Steps: 13 | Time:  747 | Loss:   0.55292 | Score:  0
  Training |   187 | Steps:  6 | Time:  505 | Loss:   0.64124 | Score:  0
  Training |   188 | Steps: 22 | Time: 1074 | Loss:   0.54952 | Score:  2
  Training |   189 | Steps: 23 | Time: 1142 | Loss:   0.64311 | Score:  1
  Training |   190 | Steps:  6 | Time:  537 | Loss:   0.51697 | Score:  0
  Training |   191 | Steps: 15 | Time:  823 | Loss:   0.64222 | Score:  0
  Training |   192 | Steps: 17 | Time:  930 | Loss:   0.58137 | Score:  1
  Training |   193 | Steps:  6 | Time:  515 | Loss:   0.74018 | Score:  1
  Training |   194 | Steps: 10 | Time:  645 | Loss:   0.81943 | Score:  0
  Training |   195 | Steps:  6 | Time:  492 | Loss:   0.66206 | Score:  1
  Training |   196 | Steps: 10 | Time:  617 | Loss:   0.61579 | Score:  0
  Training |   197 | Steps:  6 | Time:  482 | Loss:   0.40637 | Score:  0
  Training |   198 | Steps: 20 | Time:  989 | Loss:   0.69811 | Score:  1
  Training |   199 | Steps: 10 | Time:  665 | Loss:   0.62323 | Score:  0
  Training |   200 | Steps:  6 | Time:  479 | Loss:   0.67451 | Score:  0
  Training |   201 | Steps: 23 | Time: 1099 | Loss:   0.78764 | Score:  0
  Training |   202 | Steps: 12 | Time:  703 | Loss:   0.50745 | Score:  0
  Training |   203 | Steps:  8 | Time:  599 | Loss:   0.54857 | Score:  0
  Training |   204 | Steps:  9 | Time:  589 | Loss:   0.60438 | Score:  0
  Training |   205 | Steps:  9 | Time:  616 | Loss:   0.58540 | Score:  0
  Training |   206 | Steps: 12 | Time:  714 | Loss:   0.75058 | Score:  0
  Training |   207 | Steps:  7 | Time:  519 | Loss:   0.78327 | Score:  0
  Training |   208 | Steps:  7 | Time:  545 | Loss:   0.58153 | Score:  0
  Training |   209 | Steps: 18 | Time:  933 | Loss:   0.73096 | Score:  0
  Training |   210 | Steps: 24 | Time: 1122 | Loss:   0.63775 | Score:  0
  Training |   211 | Steps: 37 | Time: 1625 | Loss:   0.71062 | Score:  0
  Training |   212 | Steps:  7 | Time:  508 | Loss:   0.40826 | Score:  0
  Training |   213 | Steps:  6 | Time:  513 | Loss:   0.44406 | Score:  0
  Training |   214 | Steps:  7 | Time:  526 | Loss:   0.72426 | Score:  0
  Training |   215 | Steps:  6 | Time:  513 | Loss:   0.40928 | Score:  0
  Training |   216 | Steps:  7 | Time:  520 | Loss:   0.52182 | Score:  0
  Training |   217 | Steps: 11 | Time:  694 | Loss:   0.58163 | Score:  1
  Training |   218 | Steps:  8 | Time:  585 | Loss:   0.66871 | Score:  0
  Training |   219 | Steps: 11 | Time:  667 | Loss:   0.62682 | Score:  0
  Training |   220 | Steps:  9 | Time:  609 | Loss:   0.63882 | Score:  0
  Training |   221 | Steps: 11 | Time:  697 | Loss:   0.51711 | Score:  0
  Training |   222 | Steps:  7 | Time:  537 | Loss:   0.72475 | Score:  0
  Training |   223 | Steps: 10 | Time:  665 | Loss:   0.65583 | Score:  0
  Training |   224 | Steps: 56 | Time: 2327 | Loss:   0.57722 | Score:  1
  Training |   225 | Steps: 13 | Time:  773 | Loss:   0.65447 | Score:  0
